crop,year,month,avg_price,min_price,max_price,cv,yoy_change,annual_avg,sell_score
Beans,2023,5,65.1778125,45.0,96.67,19.16,,57.34117672537939,100.0
Beans,2023,6,62.44233333333333,25.0,120.0,38.55,,57.34117672537939,87.9
Beans,2023,7,77.4466129032258,28.0,130.0,45.53,,57.34117672537939,100.0
Beans,2023,8,46.36666666666667,27.5,86.67,37.6,,57.34117672537939,65.7
Beans,2023,9,70.85785714285714,45.0,106.67,24.62,,57.34117672537939,100.0
Beans,2023,10,50.53258064516129,17.0,85.0,45.01,,57.34117672537939,68.3
Beans,2023,11,22.93103448275862,15.0,30.0,17.76,,57.34117672537939,36.4
Beans,2023,12,62.97451612903226,35.0,86.67,29.64,,57.34117672537939,93.5
Beans,2024,1,50.166935483870965,35.0,76.67,21.88,,84.90535387086544,52.6
Beans,2024,2,97.95092592592593,65.0,155.0,27.39,,84.90535387086544,99.6
Beans,2024,3,82.03741379310345,25.0,170.0,56.0,,84.90535387086544,69.6
Beans,2024,4,87.82266666666666,28.0,115.0,23.9,,84.90535387086544,91.1
Beans,2024,5,83.36133333333333,46.0,126.0,24.01,27.9,84.90535387086544,86.4
Beans,2024,6,55.825,45.0,95.0,20.49,-10.6,84.90535387086544,59.0
Beans,2024,7,115.5701754385965,65.0,210.0,37.58,49.2,84.90535387086544,100.0
Beans,2024,8,78.95639344262295,45.0,115.0,20.72,70.3,84.90535387086544,83.4
Beans,2024,9,79.50309090909091,45.0,95.0,16.19,12.2,84.90535387086544,86.1
Beans,2024,10,89.28887096774193,62.33,135.0,20.98,76.7,84.90535387086544,94.1
Beans,2024,11,93.8048275862069,45.0,155.0,34.25,309.1,84.90535387086544,91.6
Beans,2024,12,104.57661290322581,75.0,145.0,18.53,66.1,84.90535387086544,100.0
Beans,2025,1,61.49431034482759,36.67,85.0,16.35,22.6,73.86031641246495,76.5
Beans,2025,2,46.851851851851855,35.0,65.0,18.81,-52.2,73.86031641246495,57.5
Beans,2025,3,47.86810344827586,27.67,75.0,25.08,-41.7,73.86031641246495,56.7
Beans,2025,4,80.53571428571429,65.0,85.0,7.36,-8.3,73.86031641246495,100.0
Beans,2025,5,46.21933333333333,25.0,75.0,32.07,-44.6,73.86031641246495,52.5
Beans,2025,6,38.553666666666665,23.67,60.0,24.2,-30.9,73.86031641246495,45.9
Beans,2025,7,44.64645161290323,29.0,73.75,19.18,-61.4,73.86031641246495,54.7
Beans,2025,8,87.91383333333333,45.0,126.0,24.7,11.3,73.86031641246495,100.0
Beans,2025,9,93.0,76.0,105.0,15.53,17.0,73.86031641246495,100.0
Beans,2025,10,106.04145161290322,53.4,177.5,28.67,18.8,73.86031641246495,100.0
Beans,2025,11,131.89166666666668,64.25,185.0,24.32,40.6,73.86031641246495,100.0
Beans,2025,12,101.30741379310345,50.0,170.0,39.17,-3.1,73.86031641246495,100.0
Beans,2026,1,109.12633333333333,75.0,143.33,15.03,77.5,74.4303636899499,100.0
Beans,2026,2,98.22,45.0,205.0,34.91,109.6,74.4303636899499,100.0
Beans,2026,3,59.672413793103445,25.0,115.0,47.7,24.7,74.4303636899499,61.1
Beans,2026,4,41.88403846153846,15.0,95.0,42.45,-48.0,74.4303636899499,44.3
Beans,2026,5,71.19189655172414,25.0,112.5,31.42,54.0,74.4303636899499,80.6
Beans,2026,6,66.4875,44.0,80.0,15.82,72.5,74.4303636899499,82.3
Bitter Gourd,2023,5,36.58375,23.0,57.5,28.42,,64.86786044440179,48.4
Bitter Gourd,2023,6,51.47233333333334,32.5,95.0,32.62,,64.86786044440179,66.4
Bitter Gourd,2023,7,73.38709677419355,45.0,115.0,31.8,,64.86786044440179,95.1
Bitter Gourd,2023,8,41.833333333333336,34.0,65.0,19.12,,64.86786044440179,58.3
Bitter Gourd,2023,9,78.25607142857143,54.0,115.0,22.08,,64.86786044440179,100.0
Bitter Gourd,2023,10,70.89548387096775,55.0,96.67,14.55,,64.86786044440179,100.0
Bitter Gourd,2023,11,84.23481481481483,55.0,115.0,17.21,,64.86786044440179,100.0
Bitter Gourd,2023,12,82.28,65.0,115.0,19.83,,64.86786044440179,100.0
Bitter Gourd,2024,1,119.53806451612903,95.0,140.0,9.22,,83.20747044727338,100.0
